Ref,Val,Package,PosX,PosY,Rot,Side
"C3","100n","C_0402_1005Metric",-22.310000,-14.980000,0.000000,bottom
"C4","10u","C_0402_1005Metric",-22.340000,-10.550000,0.000000,bottom
"C5","DNP","C_0402_1005Metric",-14.170000,-6.290000,0.000000,bottom
"C7","10n","C_0402_1005Metric",-27.439999,-14.570000,180.000000,bottom
"C8","10n","C_0402_1005Metric",-26.420000,-15.500000,180.000000,bottom
"C10","100n","C_0402_1005Metric",-29.180000,-18.080000,-90.000000,bottom
"C11","100n","C_0402_1005Metric",-24.170000,-19.240000,0.000000,bottom
"C12","100n","C_0402_1005Metric",-30.389999,-16.190000,0.000000,bottom
"C14","100n","C_0402_1005Metric",-19.760000,-8.260000,90.000000,bottom
"C15","100n","C_0402_1005Metric",-18.840000,-8.260000,90.000000,bottom
"C16","100n","C_0402_1005Metric",-18.960000,-5.780000,-90.000000,bottom
"C17","100n","C_0402_1005Metric",-18.040000,-5.780000,-90.000000,bottom
"C18","100n","C_0402_1005Metric",-16.080000,-8.260000,90.000000,bottom
"C19","100n","C_0402_1005Metric",-15.710000,-10.070000,180.000000,bottom
"C20","100n","C_0402_1005Metric",-17.920000,-8.260000,90.000000,bottom
"C21","100n","C_0402_1005Metric",-17.000000,-8.260000,90.000000,bottom
"JP37","SolderJumper_3_Bridged12","R_0201_0603_JP_123",-12.190000,-17.390000,180.000000,bottom
"JP41","JP","R_0201_0603_JP",-32.680000,-9.970000,180.000000,bottom
"R2","40.2k","R_0402_1005Metric",-14.150000,-5.320000,0.000000,bottom
"R4","DNP","R_0402_1005Metric",-15.570000,-4.460000,-90.000000,bottom
"R5","DNP","R_0402_1005Metric",-15.570000,-6.330000,-90.000000,bottom
"R6","DNP","R_0402_1005Metric",-16.500000,-14.050000,0.000000,bottom
"R7","DNP","R_0402_1005Metric",-22.330001,-15.910000,0.000000,bottom
"R8","DNP","R_0402_1005Metric",-20.930000,-15.080001,90.000000,bottom
"R9","DNP","R_0402_1005Metric",-16.509999,-12.060000,0.000000,bottom
"R11","DNP","R_0402_1005Metric",-12.860000,-13.550000,180.000000,bottom
"R12","DNP","R_0402_1005Metric",-16.500000,-13.110000,0.000000,bottom
"R13","10k","R_0402_1005Metric",-12.870000,-14.550000,0.000000,bottom
"R14","470","R_0402_1005Metric",-18.050000,-3.290000,90.000000,bottom
"R15","100","R_0402_1005Metric",-9.965000,-2.110000,180.000000,bottom
"R16","100","R_0402_1005Metric",-9.965000,-4.650000,180.000000,bottom
"R17","100","R_0402_1005Metric",-9.965001,-7.190000,180.000000,bottom
"R18","100","R_0402_1005Metric",-9.965001,-9.730000,180.000000,bottom
"R19","100","R_0402_1005Metric",-9.965001,-12.270000,180.000000,bottom
"R20","100","R_0402_1005Metric",-9.965001,-14.810000,180.000000,bottom
"R21","100","R_0402_1005Metric",-9.965001,-17.350000,180.000000,bottom
"R22","100","R_0402_1005Metric",-9.965001,-19.890000,180.000000,bottom
"R23","470k","R_0402_1005Metric",-35.150000,-18.480000,180.000000,bottom
"R24","470k","R_0402_1005Metric",-35.150000,-15.980000,180.000000,bottom
"R25","470k","R_0402_1005Metric",-35.150000,-13.480000,180.000000,bottom
"R26","470k","R_0402_1005Metric",-35.150000,-10.980000,180.000000,bottom
"R27","470k","R_0402_1005Metric",-35.150000,-8.480000,180.000000,bottom
"R28","470k","R_0402_1005Metric",-35.150000,-5.980000,180.000000,bottom
"R29","470k","R_0402_1005Metric",-35.150000,-3.480000,180.000000,bottom
"R30","470k","R_0402_1005Metric",-12.190001,-8.080000,0.000000,bottom
"R31","270k","R_0402_1005Metric",-33.650000,-17.980000,90.000000,bottom
"R32","270k","R_0402_1005Metric",-33.650000,-15.480000,90.000000,bottom
"R33","270k","R_0402_1005Metric",-33.650000,-12.980000,90.000000,bottom
"R34","270k","R_0402_1005Metric",-33.650000,-10.480000,90.000000,bottom
"R35","270k","R_0402_1005Metric",-33.650000,-7.980000,90.000000,bottom
"R36","270k","R_0402_1005Metric",-33.650000,-5.480000,90.000000,bottom
"R37","270k","R_0402_1005Metric",-33.650000,-2.980000,90.000000,bottom
"R38","270k","R_0402_1005Metric",-13.690001,-8.580000,-90.000000,bottom
"R39","47k","R_0402_1005Metric",-35.150000,-17.480000,0.000000,bottom
"R40","47k","R_0402_1005Metric",-35.150000,-14.980000,0.000000,bottom
"R41","47k","R_0402_1005Metric",-35.150000,-12.480000,0.000000,bottom
"R42","47k","R_0402_1005Metric",-35.150000,-9.980000,0.000000,bottom
"R43","47k","R_0402_1005Metric",-35.150000,-7.480000,0.000000,bottom
"R44","47k","R_0402_1005Metric",-35.150000,-4.980000,0.000000,bottom
"R45","47k","R_0402_1005Metric",-35.150000,-2.480000,0.000000,bottom
"R46","47k","R_0402_1005Metric",-12.190001,-9.080000,180.000000,bottom
"R47","100","R_0402_1005Metric",-25.680000,-4.500000,0.000000,bottom
"R48","100","R_0402_1005Metric",-25.680000,-5.500000,180.000000,bottom
