Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u","C_0402_1005Metric",18.000000,-5.780000,90.000000,top
"C2","10u","C_0805_2012Metric",11.960000,-3.090000,90.000000,top
"C6","22u","C_0805_2012Metric",15.300000,-2.390000,180.000000,top
"C9","1n","C_0402_1005Metric",24.542501,-16.530000,0.000000,top
"C13","470n, 10V","C_0402_1005Metric",30.110000,-19.740001,-90.000000,top
"C22","DNP","R_0201_0603_NP",21.760000,-8.000000,0.000000,top
"C23","DNP","R_0201_0603_NP",21.760000,-6.640000,0.000000,top
"D1","17v","US2H_TOS",10.020000,-3.382700,90.000000,top
"D2","3.3v","D_SOD-323",24.580000,-9.830000,90.000000,top
"D3","Power","LED_0603_1608Metric",18.040000,-3.279999,90.000000,top
"D4","WS2812B","LED-WS2812B",13.100000,-16.830000,0.000000,top
"F1","500ma","C_1210_3225Metric",11.300000,-7.680000,90.000000,top
"J9","Little Tower","Molex_47948-0001_U.FL_Hirose_U.FL-R-SMT-1_Vertical",21.460000,-3.945000,45.000000,top
"J10","CF/Prog","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",28.725000,-3.930000,180.000000,top
"J13","U.FL","U.FL_Hirose_U.FL-R-SMT-1_Vertical_Molex_47948-0001",28.090000,-9.975038,90.000000,top
"JP1","JP","R_0201_0603_JP",19.960000,-7.720000,-90.000000,top
"JP2","JP","R_0201_0603_JP",19.460000,-7.720000,-90.000000,top
"JP3","JP","R_0201_0603_JP",18.960000,-7.720000,-90.000000,top
"JP4","JP","R_0201_0603_JP",18.460000,-7.720000,-90.000000,top
"JP5","JP","R_0201_0603_JP",17.960001,-7.720000,-90.000000,top
"JP7","JP","R_0201_0603_JP",17.460000,-16.880000,90.000000,top
"JP8","JP","R_0201_0603_JP",19.960000,-16.880000,90.000000,top
"JP12","JP","R_0201_0603_JP",14.630000,-14.550000,180.000000,top
"JP13","JP","R_0201_0603_JP",23.790000,-13.050000,0.000000,top
"JP14","JP","R_0201_0603_JP",14.630000,-14.050000,180.000000,top
"JP15","JP","R_0201_0603_JP",23.790001,-13.550000,0.000000,top
"JP16","JP","R_0201_0603_JP",14.630000,-15.050000,180.000000,top
"JP17","JP","R_0201_0603_JP",20.960000,-16.880000,-90.000000,top
"JP18","JP","R_0201_0603_JP",17.960000,-16.880001,-90.000000,top
"JP19","JP","R_0201_0603_JP",18.460000,-16.880000,-90.000000,top
"JP20","JP","R_0201_0603_JP",14.630000,-12.049999,180.000000,top
"JP21","JP","R_0201_0603_JP",14.630000,-13.050000,180.000000,top
"JP22","JP","R_0201_0603_JP",14.630000,-11.550000,180.000000,top
"JP23","JP","R_0201_0603_JP",14.630000,-13.550001,180.000000,top
"JP24","NP","R_0201_0603_NP",21.460000,-16.880000,-90.000000,top
"JP25","JP","R_0201_0603_JP",23.790000,-14.550000,0.000000,top
"JP26","JP","R_0201_0603_JP",23.790000,-12.550000,0.000000,top
"JP27","JP","R_0201_0603_JP",23.790000,-14.050000,0.000000,top
"JP28","NP","R_0201_0603_NP",21.960000,-16.880000,-90.000000,top
"JP29","JP","R_0201_0603_JP",14.630000,-10.050000,180.000000,top
"JP30","NP","R_0201_0603_NP",14.630000,-10.550000,180.000000,top
"JP31","JP","R_0201_0603_JP",14.630000,-11.050001,180.000000,top
"JP32","JP","R_0201_0603_JP",16.459999,-7.720000,90.000000,top
"JP33","JP","R_0201_0603_JP",14.630000,-9.549999,180.000000,top
"JP34","JP","R_0201_0603_JP",17.460000,-7.720000,90.000000,top
"JP35","JP","R_0201_0603_JP",16.960000,-7.720000,90.000000,top
"JP36","JP","R_0201_0603_JP",16.960000,-16.880000,-90.000000,top
"L1","15u","L_0805_2012Metric",31.800000,-18.350001,90.000000,top
"L2","JP","R_0201_0603_JP",21.460000,-7.320000,90.000000,top
"R1","10k","R_0402_1005Metric",19.460000,-6.220000,180.000000,top
"R3","100","R_0402_1005Metric",16.830000,-5.680000,90.000000,top
"R10","270k","R_0402_1005Metric",29.650000,-12.639999,90.000000,top
"SW1","SW_SPST","SO4_SW_1563-R66-8005_MIT",11.800000,-11.680000,180.000000,top
"SW2","SW_SPST","SO4_SW_1563-R66-8005_MIT",10.400001,-17.300801,-90.000000,top
"U1","ESP32-PICO-V3","QFN-48-1EP_7x7mm_P0.5mm_EP5.3x5.3mm",19.210000,-12.300000,-90.000000,top
"U2","SX1281","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm",28.340000,-16.179999,0.000000,top
"U3","TPSM82901SISR","uSIP11_SIS_TEX",14.650500,-5.180000,0.000000,top
"U4","2450FM07D0034T","2450FM07D0034",28.090000,-12.800000,90.000000,top
"Y1","52Mhz TCXO","Crystal_SMD_2016-4Pin_2.0x1.6mm",24.152500,-18.400000,90.000000,top
