"Reference","Value","Footprint","Qty","Part","Manufacturer","DNP","Digikey","LCSC","Mouser"
"C1","1u","Capacitor_SMD:C_0402_1005Metric","1","CL05A105MQ5NNNC","Samsung","","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL05A105MQ5NNNC/3886893","",""
"C2","10u","Capacitor_SMD:C_0805_2012Metric","1","GRJ21BR61E106KE01K","Murata","","https://www.digikey.com/en/products/detail/murata-electronics/GRJ21BR61E106KE01K/10705983","",""
"C3,C10,C11,C12,C14,C15,C16,C17,C18,C19,C20,C21","100n","Capacitor_SMD:C_0402_1005Metric","12","CL05A104KA5NNNC","Samsung","","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL05A104KA5NNNC/3886701","C1525",""
"C4","10u","Capacitor_SMD:C_0402_1005Metric","1","CL05A106MQ5NUNC","Samsung","","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL05A106MQ5NUNC/3887109","C15525",""
"C5","DNP","Capacitor_SMD:C_0402_1005Metric","1","DNP","","DNP","","",""
"C6","22u","Capacitor_SMD:C_0805_2012Metric","1","C2012X7S1A226M125AC","TDK","","https://www.digikey.com/en/products/detail/tdk-corporation/C2012X7S1A226M125AC/3951796","",""
"C7,C8","10n","Capacitor_SMD:C_0402_1005Metric","2","CL05B103KB5NNNC","Samsung","","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL05B103KB5NNNC/3886686","C15195",""
"C9","1n","Capacitor_SMD:C_0402_1005Metric","1","KGM05AR71H102KN","Kyocera AVX","","https://www.digikey.com/en/products/detail/kyocera-avx/KGM05AR71H102KN/3661149","C1523",""
"C13","470n, 10V","Capacitor_SMD:C_0402_1005Metric","1","CL05A474KP5NNNC","Samsung","","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL05A474KP5NNNC/3886831","C47339",""
"C22,C23","DNP","elrs-lvs:R_0201_0603_NP","2","DNP","","","","",""
"D1","17v","elrs-lvs:US2H_TOS","1","CUHZ16V,H3F","Toshiba","","https://www.digikey.com/en/products/detail/toshiba-semiconductor-and-storage/CUHZ16V-H3F/15857862","",""
"D2","3.3v","Diode_SMD:D_SOD-323","1","PJGBLC03C-AU_R1_000A1","Panjit","","https://www.digikey.com/en/products/detail/panjit-international-inc/PJGBLC03C-AU-R1-000A1/15797697","",""
"D3","Power","LED_SMD:LED_0603_1608Metric","1","LY Q976.01-Q1R2-36-1","osram","","https://www.digikey.com/en/products/detail/ams-osram-usa-inc/LY-Q976-01-Q1R2-36-1/21556496","",""
"D4","WS2812B","Anyleaf_Shared:LED-WS2812B","1","4684","Adafruit","","1528-4684-ND","C965555",""
"F1","500ma","Capacitor_SMD:C_1210_3225Metric","1","SMD1210B075TF/24","Yageo","","https://www.digikey.com/en/products/detail/yageo/SMD1210B075TF-24/15212934","",""
"J1,J2,J3,J4,J5,J6,J7,J8","PWM","elrs-lvs:PinHeader_1x03_P2.54mm_NoSilk","8","TSW-104-25-G-T-RA","Samtec","","https://www.digikey.com/en/products/detail/samtec-inc/TSW-104-25-G-T-RA/7864909","",""
"J10","CF/Prog","Connector_JST:JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal","1","SM04B-GHS-TB","JST","","https://www.digikey.com/en/products/detail/jst-sales-america-inc/SM04B-GHS-TB/807788","C189895",""
"J11","Holes","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1","DNP","","","","",""
"J12","Balance","Connector_JST:JST_XH_S7B-XH-A-1_1x07_P2.50mm_Horizontal","1","S7B-XH-A-1","JST","","https://www.digikey.com/en/products/detail/jst-sales-america-inc/S7B-XH-A-1/9961926","",""
"J13","U.FL","elrs-lvs:U.FL_Hirose_U.FL-R-SMT-1_Vertical_Molex_47948-0001","1","U.FL-R-SMT-1(80)","Hirose Electric","","","C88374",""
"L2","JP","elrs-lvs:R_0201_0603_JP","1","DNP","","","","",""
"R1,R13","10k","Resistor_SMD:R_0402_1005Metric","2","AC0402JR-0710KL","Yageo","","https://www.digikey.com/en/products/detail/yageo/AC0402JR-0710KL/5895571","",""
"R2","40.2k","Resistor_SMD:R_0402_1005Metric","1","AC0402FR-0740K2L","Yageo","","https://www.digikey.com/en/products/detail/yageo/AC0402FR-0740K2L/5895346","",""
"R3,R15,R16,R17,R18,R19,R20,R21,R22,R47,R48","100","Resistor_SMD:R_0402_1005Metric","11","AC0402JR-07100RL","Yageo","","https://www.digikey.com/en/products/detail/yageo/AC0402JR-07100RL/5895570","",""
"R4,R5,R6,R7,R8,R9,R11,R12","DNP","Resistor_SMD:R_0402_1005Metric","8","DNP","","DNP","","",""
"R10,R31,R32,R33,R34,R35,R36,R37,R38","270k","Resistor_SMD:R_0402_1005Metric","9","RC0402FR-07270KL","Yageo","","https://www.digikey.com/en/products/detail/yageo/RC0402FR-07270KL/726575","",""
"R14","470","Resistor_SMD:R_0402_1005Metric","1","AC0402JR-07470RL","Yageo","","https://www.digikey.com/en/products/detail/yageo/AC0402JR-07470RL/5895678","",""
"R23,R24,R25,R26,R27,R28,R29,R30","470k","Resistor_SMD:R_0402_1005Metric","8","RC0402DR-07470KL","Yageo","","https://www.digikey.com/en/products/detail/yageo/RC0402DR-07470KL/5917402","",""
"R39,R40,R41,R42,R43,R44,R45,R46","47k","Resistor_SMD:R_0402_1005Metric","8","RC0402FR-0747KL","Yageo","","https://www.digikey.com/en/products/detail/yageo/RC0402FR-0747KL/726616","",""
"SW1,SW2","SW_SPST","elrs-lvs:SO4_SW_1563-R66-8005_MIT","2","R-668048","Mitsumi","","https://www.digikey.com/en/products/detail/mitsumi-electric-company-ltd/R-668048/11591275","",""
"TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP18,TP19,TP20","TP","elrs-lvs:TestPoint_Pad_D0.25mm","18","DNP","","","","",""
"U3","TPSM82901SISR","elrs-lvs:uSIP11_SIS_TEX","1","TPSM82901SISR","Texas Instruments","","https://www.digikey.com/en/products/detail/texas-instruments/TPSM82901SISR/17394938","",""
"Y1","52Mhz TCXO","Crystal:Crystal_SMD_2016-4Pin_2.0x1.6mm","1","ECS-TXO-20CSMV4-520-AN-TR","ECS Inc.","","50-ECS-TXO-20CSMV4-520-AN-TRCT-ND","",""
"U1","ESP32-PICO-V3","Package_DFN_QFN:QFN-48-1EP_7x7mm_P0.5mm_EP5.3x5.3mm","1"," ESP32-PICO-V3 ","Espressif","","",""," 356-ESP32-PICO-V3 "
"J9","Little Tower","elrs-lvs:Molex_47948-0001_U.FL_Hirose_U.FL-R-SMT-1_Vertical","1","47948-0001","Molex","","",""," 538-47948-0001 "
"U2","SX1281","Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm","1","SX1281IMLTRT","Semtech","","SX1281IMLTRTTR-ND","C125969"," 947-SX1281IMLTRT "
"U4","2450FM07D0034T","Anyleaf_Shared:2450FM07D0034","1","2450FM07D0034T","Johanson","","712-1654-2-ND","","609-2450FM07D0034T"
"L1","15u","Inductor_SMD:L_0805_2012Metric","1","MLZ2012M150W","TDK","","","C486333","810-MLZ2012M150WT000"
