real	vs5	lvs6	sim
-6		142	-20.058
-5		142	58.43
-4		172	136.919
-3		248	215.407
-2		327	293.895
-1		405	372.384
0		480	450.872
nc		520	489.274
1		560	529.36
2		640	607.848
3	649	719	686.337
3.3	724		709.884
4	796	797	764.826
5	874	876	843.314
6	953	954	921.802
7	1036	1037	1000
8	1116	1117	1079
9	1195	1196	1157
10	1274	1275	1236
11	1353	1354	1314
12	1438	1438	1393
13	1516	1516	1471
14	1595	1594	1550
15	1671	1672	1628
16	1751	1750	1707
17	1837	1833	1785
18		1910	1864
19		1987	1942
20		2066	2021
21		2143	2099
22		2221	2178
23		2305	2256
24		2387	2335
25		2466	2413
26		2539	2492
27		2611	2570
28		2685	2649
29		2760	2727
30		2835	2806
31		2912	2884
